date,campaign_id,platform,impressions,clicks,conversions,spend,ctr,conversion_rate,cost_per_click,cost_per_conversion
2023-10-16,CAMP_001,Google Ads,17325,517,23,51.35,2.98,4.45,0.1,2.23
2023-03-30,CAMP_001,Instagram Ads,57208,527,2,728.71,0.92,0.38,1.38,364.36
2023-08-09,CAMP_007,Facebook Ads,85283,946,42,160.59,1.11,4.44,0.17,3.82
2023-09-08,CAMP_001,Google Ads,78905,764,21,379.16,0.97,2.75,0.5,18.06
2023-04-22,CAMP_010,Facebook Ads,71222,868,40,88.75,1.22,4.61,0.1,2.22
2023-07-07,CAMP_006,Google Ads,6680,533,34,915.52,7.98,6.38,1.72,26.93
2023-08-18,CAMP_001,Facebook Ads,64087,905,11,55.1,1.41,1.22,0.06,5.01
2023-03-23,CAMP_006,LinkedIn Ads,14011,274,11,276.93,1.96,4.01,1.01,25.18
2023-05-05,CAMP_007,LinkedIn Ads,17388,384,35,975.64,2.21,9.11,2.54,27.88
2023-08-24,CAMP_010,LinkedIn Ads,37470,435,18,776.26,1.16,4.14,1.78,43.13
2023-09-14,CAMP_008,Instagram Ads,71437,374,29,130.96,0.52,7.75,0.35,4.52
2023-03-09,CAMP_007,Google Ads,8221,456,32,691.72,5.55,7.02,1.52,21.62
2023-09-04,CAMP_007,Facebook Ads,43522,314,35,615.59,0.72,11.15,1.96,17.59
2023-10-17,CAMP_005,Facebook Ads,37194,509,12,781.77,1.37,2.36,1.54,65.15
2023-12-13,CAMP_002,Google Ads,18405,197,27,801.44,1.07,13.71,4.07,29.68
2023-03-30,CAMP_001,Facebook Ads,64712,500,46,51.01,0.77,9.2,0.1,1.11
2023-06-24,CAMP_010,Google Ads,97690,383,10,328.66,0.39,2.61,0.86,32.87
2023-02-11,CAMP_010,Google Ads,28625,558,7,92.5,1.95,1.25,0.17,13.21
2023-02-25,CAMP_007,Google Ads,1810,792,16,831.62,43.76,2.02,1.05,51.98
2023-01-11,CAMP_008,Instagram Ads,99495,554,35,531.86,0.56,6.32,0.96,15.2
2023-05-08,CAMP_006,Google Ads,44197,74,27,616.1,0.17,36.49,8.33,22.82
2023-10-28,CAMP_003,LinkedIn Ads,3525,998,25,304.27,28.31,2.51,0.3,12.17
2023-03-31,CAMP_007,LinkedIn Ads,79467,990,2,251.67,1.25,0.2,0.25,125.83
2023-01-30,CAMP_003,Google Ads,19931,742,48,612.8,3.72,6.47,0.83,12.77
2023-06-08,CAMP_002,LinkedIn Ads,1884,902,3,280.92,47.88,0.33,0.31,93.64
2023-01-13,CAMP_006,Instagram Ads,31811,354,50,835.02,1.11,14.12,2.36,16.7
2023-04-25,CAMP_008,Google Ads,56680,110,34,769.93,0.19,30.91,7.0,22.64
2023-05-15,CAMP_007,Instagram Ads,72626,893,45,245.48,1.23,5.04,0.27,5.46
2023-06-16,CAMP_007,Facebook Ads,4106,369,32,108.53,8.99,8.67,0.29,3.39
2023-02-05,CAMP_002,Instagram Ads,67312,17,17,753.53,0.03,100.0,44.33,44.33
2023-06-29,CAMP_008,Facebook Ads,85970,403,3,304.08,0.47,0.74,0.75,101.36
2023-02-27,CAMP_002,Google Ads,51848,694,13,553.23,1.34,1.87,0.8,42.56
2023-06-15,CAMP_007,Facebook Ads,96526,794,28,985.69,0.82,3.53,1.24,35.2
2023-04-09,CAMP_005,Google Ads,30501,851,16,53.64,2.79,1.88,0.06,3.35
2023-09-12,CAMP_006,Instagram Ads,75965,231,7,493.53,0.3,3.03,2.14,70.5
2023-12-24,CAMP_009,Google Ads,47966,391,27,690.11,0.82,6.91,1.76,25.56
2023-05-21,CAMP_005,Google Ads,6267,198,26,649.71,3.16,13.13,3.28,24.99
2023-04-19,CAMP_001,Facebook Ads,75616,583,45,829.39,0.77,7.72,1.42,18.43
2023-07-24,CAMP_006,Instagram Ads,71308,176,13,886.27,0.25,7.39,5.04,68.17
2023-01-06,CAMP_005,LinkedIn Ads,29182,624,8,724.3,2.14,1.28,1.16,90.54
2023-06-01,CAMP_002,LinkedIn Ads,18401,810,10,907.19,4.4,1.23,1.12,90.72
2023-01-20,CAMP_004,Google Ads,97368,554,41,598.36,0.57,7.4,1.08,14.59
2023-10-13,CAMP_002,LinkedIn Ads,54853,800,34,626.29,1.46,4.25,0.78,18.42
2023-03-17,CAMP_002,Instagram Ads,98891,758,27,804.6,0.77,3.56,1.06,29.8
2023-10-14,CAMP_001,Google Ads,55043,581,14,289.88,1.06,2.41,0.5,20.71
2023-10-07,CAMP_010,Instagram Ads,81147,858,5,367.85,1.06,0.58,0.43,73.57
2023-08-05,CAMP_006,Google Ads,73489,761,15,954.43,1.04,1.97,1.25,63.63
2023-07-20,CAMP_010,LinkedIn Ads,85027,958,20,417.05,1.13,2.09,0.44,20.85
2023-03-08,CAMP_005,LinkedIn Ads,33737,411,34,286.24,1.22,8.27,0.7,8.42
2023-09-25,CAMP_006,Google Ads,45689,40,16,420.14,0.09,40.0,10.5,26.26
2023-10-30,CAMP_010,Google Ads,80781,442,17,861.19,0.55,3.85,1.95,50.66
2023-10-02,CAMP_003,Google Ads,52381,386,27,288.21,0.74,6.99,0.75,10.67
